iter	Passed	Remaining
453	2930	3524
454	2935	3516
455	2940	3508
456	2945	3500
457	2950	3492
458	2955	3483
459	2958	3473
460	2963	3465
461	2968	3457
462	2973	3448
463	2978	3440
464	2983	3432
465	2988	3424
466	2993	3416
467	2998	3408
468	3003	3400
469	3007	3391
470	3012	3383
471	3018	3376
472	3023	3368
473	3028	3360
474	3033	3352
475	3038	3344
476	3043	3336
477	3048	3329
478	3053	3321
479	3056	3311
480	3062	3304
481	3067	3297
482	3073	3289
483	3078	3282
484	3084	3275
485	3089	3267
486	3094	3260
487	3099	3252
488	3105	3245
489	3110	3237
490	3115	3229
491	3120	3221
492	3125	3213
493	3129	3205
494	3134	3198
495	3139	3190
496	3144	3182
497	3149	3175
498	3154	3167
499	3159	3159
500	3164	3151
501	3169	3144
502	3174	3136
503	3179	3128
504	3184	3121
505	3188	3113
506	3193	3105
507	3198	3097
508	3203	3090
509	3208	3082
510	3213	3074
511	3218	3067
512	3223	3059
513	3227	3052
514	3232	3044
515	3237	3036
516	3242	3029
517	3247	3021
518	3252	3014
519	3257	3006
520	3262	2999
521	3267	2991
522	3272	2984
523	3275	2975
524	3280	2967
525	3284	2960
526	3289	2952
527	3294	2945
528	3299	2938
529	3304	2930
530	3309	2923
531	3314	2915
532	3319	2908
533	3324	2901
534	3329	2893
535	3334	2886
536	3336	2876
537	3341	2869
538	3345	2861
539	3351	2854
540	3355	2847
541	3360	2839
542	3365	2832
543	3370	2825
544	3375	2817
545	3378	2809
546	3383	2801
547	3387	2794
548	3392	2786
549	3397	2779
550	3401	2772
551	3406	2765
552	3411	2757
553	3416	2750
554	3421	2743
555	3426	2736
556	3431	2729
557	3435	2721
558	3438	2713
559	3444	2706
560	3449	2699
561	3453	2691
562	3458	2684
563	3463	2677
564	3468	2670
565	3473	2663
566	3478	2656
567	3483	2649
568	3487	2641
569	3492	2634
570	3497	2627
571	3502	2620
572	3507	2613
573	3512	2606
574	3517	2599
575	3521	2592
576	3526	2585
577	3531	2578
578	3536	2571
579	3541	2564
580	3545	2557
581	3550	2550
582	3555	2543
583	3560	2536
584	3565	2529
585	3570	2522
586	3575	2515
587	3580	2509
588	3585	2502
589	3590	2495
590	3595	2488
591	3600	2481
592	3605	2474
593	3610	2467
594	3615	2460
595	3620	2454
596	3625	2447
597	3630	2440
598	3634	2433
599	3639	2426
600	3644	2419
601	3649	2412
602	3654	2405
603	3659	2399
604	3664	2392
605	3669	2385
606	3674	2378
607	3679	2372
608	3685	2366
609	3690	2359
610	3696	2353
611	3702	2347
612	3707	2340
613	3713	2334
614	3719	2328
615	3724	2322
616	3728	2314
617	3733	2307
618	3738	2301
619	3743	2294
620	3748	2287
621	3753	2281
622	3759	2274
623	3764	2268
624	3769	2261
625	3774	2255
626	3779	2248
627	3784	2241
628	3789	2235
629	3794	2228
630	3799	2221
631	3804	2215
632	3809	2208
633	3814	2201
634	3819	2195
635	3823	2188
636	3828	2181
637	3833	2175
638	3838	2168
639	3843	2161
640	3848	2155
641	3852	2148
642	3857	2141
643	3862	2135
644	3867	2128
645	3872	2122
646	3877	2115
647	3882	2108
648	3887	2102
649	3892	2095
650	3897	2089
651	3902	2082
652	3907	2076
653	3912	2069
654	3917	2063
655	3921	2056
656	3926	2050
657	3931	2043
658	3936	2036
659	3941	2030
660	3946	2023
661	3951	2017
662	3955	2010
663	3960	2004
664	3965	1997
665	3970	1991
666	3975	1984
667	3980	1978
668	3985	1971
669	3990	1965
670	3995	1959
671	4001	1952
672	4006	1946
673	4011	1940
674	4016	1933
675	4021	1927
676	4026	1921
677	4032	1915
678	4037	1908
679	4042	1902
680	4047	1896
681	4052	1889
682	4057	1883
683	4062	1876
684	4067	1870
685	4072	1863
686	4077	1857
687	4082	1851
688	4087	1844
689	4092	1838
690	4096	1832
691	4101	1825
692	4106	1819
693	4111	1812
694	4116	1806
695	4121	1800
696	4126	1793
697	4131	1787
698	4135	1780
699	4140	1774
700	4145	1768
701	4150	1761
702	4155	1755
703	4160	1749
704	4165	1742
705	4169	1736
706	4174	1730
707	4179	1723
708	4184	1717
709	4189	1711
710	4194	1704
711	4199	1698
712	4204	1692
713	4209	1686
714	4214	1679
715	4219	1673
716	4224	1667
717	4229	1661
718	4234	1655
719	4240	1648
720	4245	1642
721	4250	1636
722	4255	1630
723	4260	1624
724	4265	1617
725	4270	1611
726	4275	1605
727	4280	1599
728	4285	1593
729	4292	1587
730	4298	1581
731	4303	1575
732	4308	1569
733	4313	1563
734	4318	1557
735	4323	1550
736	4328	1544
737	4334	1538
738	4339	1532
739	4344	1526
740	4349	1520
741	4354	1514
742	4359	1508
743	4364	1501
744	4370	1495
745	4375	1489
746	4380	1483
747	4385	1477
748	4390	1471
749	4395	1465
750	4401	1459
751	4406	1453
752	4411	1447
753	4416	1440
754	4421	1434
755	4427	1428
756	4432	1422
757	4437	1416
758	4442	1410
759	4448	1404
760	4454	1398
761	4459	1392
762	4464	1386
763	4469	1380
764	4475	1374
765	4480	1368
766	4485	1362
767	4491	1356
768	4498	1351
769	4503	1345
770	4510	1339
771	4515	1333
772	4521	1327
773	4526	1321
774	4532	1315
775	4537	1309
776	4543	1303
777	4548	1297
778	4554	1292
779	4561	1286
780	4566	1280
781	4571	1274
782	4577	1268
783	4582	1262
784	4587	1256
785	4592	1250
786	4597	1244
787	4602	1238
788	4607	1232
789	4612	1226
790	4617	1219
791	4622	1213
792	4627	1207
793	4632	1201
794	4637	1195
795	4642	1189
796	4647	1183
797	4652	1177
798	4657	1171
799	4662	1165
800	4667	1159
801	4673	1153
802	4678	1147
803	4683	1141
804	4688	1135
805	4694	1129
806	4699	1123
807	4704	1117
808	4709	1111
809	4714	1105
810	4719	1099
811	4724	1093
812	4729	1087
813	4735	1081
814	4740	1076
815	4745	1070
816	4750	1064
817	4756	1058
818	4761	1052
819	4766	1046
820	4771	1040
821	4777	1034
822	4782	1028
823	4787	1022
824	4792	1016
825	4798	1010
826	4803	1004
827	4809	999
828	4815	993
829	4820	987
830	4826	981
831	4831	975
832	4837	969
833	4843	964
834	4848	958
835	4854	952
836	4859	946
837	4864	940
838	4870	934
839	4875	928
840	4880	922
841	4886	916
842	4891	910
843	4896	905
844	4902	899
845	4907	893
846	4913	887
847	4918	881
848	4924	875
849	4929	869
850	4935	864
851	4940	858
852	4945	852
853	4951	846
854	4956	840
855	4961	834
856	4966	828
857	4971	822
858	4976	816
859	4981	810
860	4985	804
861	4991	799
862	4995	793
863	5000	787
864	5005	781
865	5010	775
866	5015	769
867	5020	763
868	5025	757
869	5030	751
870	5035	745
871	5040	739
872	5045	734
873	5050	728
874	5055	722
875	5060	716
876	5065	710
877	5070	704
878	5075	698
879	5080	692
880	5085	686
881	5090	681
882	5095	675
883	5100	669
884	5104	663
885	5109	657
886	5114	651
887	5119	645
888	5124	639
889	5129	634
890	5135	628
891	5139	622
892	5145	616
893	5150	610
894	5155	604
895	5160	598
896	5165	593
897	5171	587
898	5176	581
899	5181	575
900	5187	569
901	5192	564
902	5197	558
903	5202	552
904	5207	546
905	5212	540
906	5217	534
907	5222	529
908	5226	523
909	5231	517
910	5236	511
911	5241	505
912	5246	499
913	5251	494
914	5256	488
915	5261	482
916	5266	476
917	5271	470
918	5276	465
919	5281	459
920	5286	453
921	5291	447
922	5295	441
923	5301	436
924	5306	430
925	5310	424
926	5315	418
927	5320	412
928	5325	407
929	5330	401
930	5335	395
931	5340	389
932	5345	383
933	5350	378
934	5355	372
935	5360	366
936	5365	360
937	5370	354
938	5375	349
939	5380	343
940	5385	337
941	5390	331
942	5396	326
943	5401	320
944	5406	314
945	5411	308
946	5416	303
947	5421	297
948	5426	291
949	5431	285
950	5436	280
951	5441	274
952	5446	268
953	5451	262
954	5456	257
955	5461	251
956	5466	245
957	5471	239
958	5475	234
959	5480	228
960	5485	222
961	5490	216
962	5495	211
963	5500	205
964	5505	199
965	5510	193
966	5515	188
967	5520	182
968	5525	176
969	5530	171
970	5534	165
971	5539	159
972	5544	153
973	5549	148
974	5554	142
975	5559	136
976	5564	130
977	5569	125
978	5574	119
979	5579	113
980	5584	108
981	5589	102
982	5594	96
983	5599	91
984	5604	85
985	5609	79
986	5614	73
987	5620	68
988	5625	62
989	5630	56
990	5636	51
991	5641	45
992	5646	39
993	5652	34
994	5657	28
995	5663	22
996	5668	17
997	5673	11
998	5679	5
999	5685	0
